time,104 GtCO2 temporary storage vs. permanent removal,200 GtCO2 temporary storage vs. permanent removal,296 GtCO2 temporary storage vs. permanent removal
2067.5,-0.3046875,-0.59375,-0.890625
2068.5,-0.37890625,-0.73046875,-1.0976562
2069.5,-0.45703125,-0.87890625,-1.3242188
2070.5,-0.53515625,-1.0390625,-1.5585938
2071.5,-0.6171875,-1.203125,-1.8046875
2072.5,-0.703125,-1.3710938,-2.0546875
2073.5,-0.7890625,-1.5429688,-2.3085938
2074.5,-0.87890625,-1.7148438,-2.5625
2075.5,-0.96875,-1.8867188,-2.8203125
2076.5,-1.0585938,-2.0585938,-3.078125
2077.5,-1.1484375,-2.2304688,-3.3359375
2078.5,-1.2382812,-2.4023438,-3.59375
2079.5,-1.3242188,-2.5742188,-3.8515625
2080.5,-1.4140625,-2.7421875,-4.1054688
2081.5,-1.5,-2.9140625,-4.3554688
2082.5,-1.5859375,-3.078125,-4.6054688
2083.5,-1.671875,-3.2460938,-4.8554688
2084.5,-1.7617188,-3.40625,-5.1015625
2085.5,-1.8476562,-3.578125,-5.3398438
2086.5,-1.9335938,-3.7382812,-5.5859375
2087.5,-2.0195312,-3.9023438,-5.8242188
2088.5,-2.1015625,-4.0625,-6.0625
2089.5,-2.1796875,-4.21875,-6.2929688
2090.5,-2.2617188,-4.375,-6.5195312
2091.5,-2.3359375,-4.515625,-6.734375
2092.5,-2.4101562,-4.6484375,-6.9335938
2093.5,-2.4765625,-4.78125,-7.1210938
2094.5,-2.5429688,-4.8984375,-7.3007812
2095.5,-2.59375,-5.0039062,-7.4609375
2096.5,-2.6445312,-5.1015625,-7.6015625
2097.5,-2.6914062,-5.1875,-7.7265625
2098.5,-2.734375,-5.2617188,-7.8398438
2099.5,-2.765625,-5.3242188,-7.9296875
2100.5,-2.7929688,-5.375,-8.003906
2101.5,-2.8164062,-5.421875,-8.0703125
2102.5,-2.8359375,-5.4609375,-8.1328125
2103.5,-2.8515625,-5.4921875,-8.1875
2104.5,-2.8710938,-5.5195312,-8.234375
2105.5,-2.8828125,-5.5507812,-8.277344
2106.5,-2.8945312,-5.5703125,-8.316406
2107.5,-2.9101562,-5.5898438,-8.3515625
2108.5,-2.9179688,-5.609375,-8.3828125
2109.5,-2.9257812,-5.6289062,-8.410156
2110.5,-2.9335938,-5.6445312,-8.4375
2111.5,-2.9414062,-5.6679688,-8.464844
2112.5,-2.9492188,-5.6835938,-8.496094
2113.5,-2.953125,-5.703125,-8.5234375
2114.5,-2.9609375,-5.71875,-8.5546875
2115.5,-2.96875,-5.7382812,-8.5859375
2116.5,-2.9765625,-5.7539062,-8.6171875
2117.5,-2.9882812,-5.78125,-8.6484375
2118.5,-3.0,-5.8007812,-8.6796875
2119.5,-3.0039062,-5.8164062,-8.707031
2120.5,-3.0117188,-5.8320312,-8.7265625
2121.5,-3.0117188,-5.8476562,-8.746094
2122.5,-3.015625,-5.8632812,-8.769531
2123.5,-3.015625,-5.875,-8.792969
2124.5,-3.0195312,-5.890625,-8.8125
2125.5,-3.0273438,-5.9023438,-8.839844
2126.5,-3.0351562,-5.9140625,-8.859375
2127.5,-3.0390625,-5.9257812,-8.8828125
2128.5,-3.0429688,-5.9375,-8.8984375
