time,104 GtCO2 temporary storage vs. permanent removal,200 GtCO2 temporary storage vs. permanent removal,296 GtCO2 temporary storage vs. permanent removal
2065.5,-7.343292e-05,-0.00013399124,-0.00018787384
2066.5,-9.727478e-05,-0.00018072128,-0.00025749207
2067.5,-0.00012540817,-0.00023460388,-0.00033903122
2068.5,-0.00015974045,-0.00030231476,-0.000436306
2069.5,-0.00019550323,-0.00037765503,-0.0005478859
2070.5,-0.00023508072,-0.0004582405,-0.0006699562
2071.5,-0.00027751923,-0.0005464554,-0.0008058548
2072.5,-0.0003194809,-0.000641346,-0.00095033646
2073.5,-0.0003695488,-0.0007381439,-0.0011053085
2074.5,-0.0004286766,-0.00084877014,-0.0012664795
2075.5,-0.00049066544,-0.0009646416,-0.0014324188
2076.5,-0.00055646896,-0.0010857582,-0.0016064644
2077.5,-0.00062179565,-0.0012149811,-0.0017895699
2078.5,-0.000685215,-0.001344204,-0.0019812584
2079.5,-0.00075149536,-0.0014762878,-0.0021805763
2080.5,-0.00081920624,-0.0016150475,-0.0023875237
2081.5,-0.0008940697,-0.0017580986,-0.0025997162
2082.5,-0.00097084045,-0.0019011497,-0.0028195381
2083.5,-0.0010476112,-0.0020508766,-0.0030441284
2084.5,-0.0011234283,-0.0022029877,-0.0032715797
2085.5,-0.0012054443,-0.002359867,-0.003504753
2086.5,-0.0012865067,-0.0025172234,-0.0037407875
2087.5,-0.0013694763,-0.0026812553,-0.003979206
2088.5,-0.0014557838,-0.0028471947,-0.0042243004
2089.5,-0.0015454292,-0.0030155182,-0.0044760704
2090.5,-0.0016345978,-0.0031809807,-0.0047330856
2091.5,-0.00172472,-0.0033512115,-0.004989147
2092.5,-0.0018148422,-0.0035190582,-0.0052423477
2093.5,-0.0019025803,-0.003689766,-0.005496502
2094.5,-0.001987934,-0.0038599968,-0.0057497025
2095.5,-0.0020747185,-0.004029751,-0.0060014725
2096.5,-0.0021595955,-0.004198551,-0.006248951
2097.5,-0.0022420883,-0.0043621063,-0.006492138
2098.5,-0.0023236275,-0.0045189857,-0.006726742
2099.5,-0.0024061203,-0.0046753883,-0.0069537163
2100.5,-0.0024843216,-0.0048270226,-0.0071749687
2101.5,-0.0025596619,-0.0049734116,-0.00739336
2102.5,-0.0026345253,-0.005113125,-0.0076026917
2103.5,-0.0027046204,-0.0052490234,-0.007806778
2104.5,-0.0027723312,-0.0053811073,-0.008002281
2105.5,-0.0028386116,-0.0055093765,-0.008192539
2106.5,-0.0028996468,-0.005633354,-0.008377552
2107.5,-0.0029616356,-0.005753994,-0.008559227
2108.5,-0.003021717,-0.0058732033,-0.008735657
2109.5,-0.003083706,-0.005993843,-0.008909702
2110.5,-0.0031423569,-0.0061120987,-0.009082794
2111.5,-0.003194809,-0.006225109,-0.009251595
2112.5,-0.0032525063,-0.006336212,-0.009411335
2113.5,-0.0033082962,-0.0064435005,-0.009570122
2114.5,-0.003358364,-0.006546974,-0.00972414
2115.5,-0.0034108162,-0.0066461563,-0.00987339
2116.5,-0.0034594536,-0.0067448616,-0.010015488
2117.5,-0.0035104752,-0.0068411827,-0.0101566315
2118.5,-0.0035552979,-0.006934166,-0.010291576
2119.5,-0.0036034584,-0.007022381,-0.010424614
2120.5,-0.0036497116,-0.0071110725,-0.01055336
2121.5,-0.0036964417,-0.007196903,-0.010678291
2122.5,-0.0037407875,-0.0072846413,-0.010801792
2123.5,-0.0037856102,-0.007369995,-0.01092577
2124.5,-0.0038266182,-0.007452011,-0.01104784
2125.5,-0.0038704872,-0.0075321198,-0.011165142
2126.5,-0.003911495,-0.0076112747,-0.0112810135
