time,104 GtCO2 temporary storage vs. permanent removal,200 GtCO2 temporary storage vs. permanent removal,296 GtCO2 temporary storage vs. permanent removal
2064.5,-3.823638e-05,-6.2435865e-05,-0.00011268258
2065.5,-5.9962273e-05,-0.00010043383,-0.00016343594
2066.5,-8.362532e-05,-0.0001449287,-0.00022140145
2067.5,-0.000106841326,-0.00019085407,-0.00029063225
2068.5,-0.00013646483,-0.00025188923,-0.00037294626
2069.5,-0.00016957521,-0.00031793118,-0.00046402216
2070.5,-0.00020265579,-0.0003836751,-0.00056794286
2071.5,-0.00024235249,-0.0004645586,-0.00068479776
2072.5,-0.00028511882,-0.00054991245,-0.0008097887
2073.5,-0.0003257692,-0.0006366074,-0.0009445548
2074.5,-0.00037309527,-0.0007274449,-0.0010793805
2075.5,-0.00042673945,-0.0008216202,-0.0012185574
2076.5,-0.00047779083,-0.00092047453,-0.0013622642
2077.5,-0.00052917004,-0.0010272264,-0.0015141368
2078.5,-0.00058561563,-0.001131475,-0.0016670525
2079.5,-0.0006439388,-0.0012404621,-0.0018303394
2080.5,-0.0006968081,-0.0013549924,-0.0020093322
2081.5,-0.00075644255,-0.0014730692,-0.002180636
2082.5,-0.00081703067,-0.0015924275,-0.0023579001
2083.5,-0.00087949634,-0.0017129481,-0.0025380552
2084.5,-0.0009446144,-0.0018354952,-0.0027216077
2085.5,-0.0010092258,-0.001961261,-0.002908647
2086.5,-0.0010733902,-0.0020869076,-0.0030975938
2087.5,-0.0011416674,-0.0022176206,-0.0032885075
2088.5,-0.0012094378,-0.0023540258,-0.003487885
2089.5,-0.0012802482,-0.002492398,-0.0036871135
2090.5,-0.0013510585,-0.0026281476,-0.0038926303
2091.5,-0.001421541,-0.002762258,-0.004097551
2092.5,-0.0014933944,-0.0028924942,-0.0042990446
2093.5,-0.0015630126,-0.0030256808,-0.0044988394
2094.5,-0.0016328692,-0.0031606257,-0.0046975613
2095.5,-0.001699686,-0.0032938123,-0.004894376
2096.5,-0.0017682314,-0.0034226775,-0.0050851703
2097.5,-0.0018361807,-0.003548801,-0.005272746
2098.5,-0.0019019842,-0.0036736727,-0.005454242
2099.5,-0.001965642,-0.0037907362,-0.0056294203
2100.5,-0.0020247102,-0.0039018393,-0.00579381
2101.5,-0.0020833015,-0.004013717,-0.0059565306
2102.5,-0.0021397471,-0.0041198134,-0.006118357
2103.5,-0.0021930933,-0.0042257905,-0.0062755346
2104.5,-0.002243936,-0.0043268204,-0.0064291954
2105.5,-0.0022947192,-0.004425049,-0.0065784454
2106.5,-0.0023434758,-0.004516661,-0.0067151785
2107.5,-0.002387941,-0.0046025515,-0.006846249
2108.5,-0.0024339557,-0.004687071,-0.0069767237
2109.5,-0.002475977,-0.0047715902,-0.0071046352
2110.5,-0.0025185347,-0.004856944,-0.0072313547
2111.5,-0.002556026,-0.0049443245,-0.0073549747
2112.5,-0.0025955439,-0.0050287247,-0.0074771643
2113.5,-0.0026363134,-0.0051112175,-0.0076034665
2114.5,-0.0026729107,-0.005187154,-0.0077209473
2115.5,-0.002709031,-0.0052657127,-0.007834077
2116.5,-0.0027455091,-0.005339861,-0.007938087
2117.5,-0.0027811527,-0.005411923,-0.008042574
2118.5,-0.0028155446,-0.0054808855,-0.008139193
2119.5,-0.0028455853,-0.00554806,-0.008233249
2120.5,-0.0028787255,-0.005612135,-0.008322895
2121.5,-0.0029110312,-0.005671084,-0.008409917
2122.5,-0.0029435158,-0.0057302117,-0.008495986
2123.5,-0.0029714704,-0.005790174,-0.008583009
2124.5,-0.002998352,-0.0058514476,-0.008670509
2125.5,-0.0030283332,-0.005907953,-0.008754492
2126.5,-0.0030563474,-0.0059639215,-0.008834124
2127.5,-0.003082633,-0.0060197115,-0.008914769
2128.5,-0.0031103492,-0.0060731173,-0.008990109
2129.5,-0.0031388998,-0.0061234236,-0.009064257
2130.5,-0.0031641722,-0.0061764717,-0.009135902
2131.5,-0.0031918287,-0.0062262416,-0.0092051625
2132.5,-0.0032189488,-0.0062777996,-0.009275556
2133.5,-0.0032455325,-0.0063284636,-0.009346664
2134.5,-0.003274262,-0.006380558,-0.009419024
2135.5,-0.003303349,-0.006431818,-0.009490907
2136.5,-0.0033307076,-0.0064834952,-0.00956279
2137.5,-0.0033571124,-0.0065339804,-0.009635091
2138.5,-0.0033815503,-0.0065837502,-0.009705961
2139.5,-0.0034056306,-0.006631434,-0.009777188
2140.5,-0.0034303665,-0.006679952,-0.009850621
2141.5,-0.0034558177,-0.0067291856,-0.009917498
2142.5,-0.0034813285,-0.0067762136,-0.00998646
2143.5,-0.0035068393,-0.006824672,-0.01005435
2144.5,-0.0035321116,-0.0068730116,-0.010120809
2145.5,-0.0035580397,-0.0069209933,-0.010187089
2146.5,-0.0035834908,-0.006966591,-0.010255814
2147.5,-0.0036069155,-0.007011533,-0.010322094
2148.5,-0.0036299229,-0.007053733,-0.0103856325
2149.5,-0.003651917,-0.0070972443,-0.010448635
2150.5,-0.0036730766,-0.0071388483,-0.010509908
2151.5,-0.0036955476,-0.007180631,-0.010568738
2152.5,-0.0037177205,-0.0072217584,-0.010627866
2153.5,-0.0037375689,-0.0072618723,-0.0106860995
2154.5,-0.0037588477,-0.007301569,-0.010743439
2155.5,-0.0037814379,-0.0073405504,-0.010801673
2156.5,-0.0038017035,-0.0073762536,-0.010857284
2157.5,-0.0038238764,-0.00741452,-0.010908842
2158.5,-0.0038452148,-0.0074511766,-0.010962725
2159.5,-0.0038670301,-0.007487178,-0.011016011
2160.5,-0.0038853884,-0.00752306,-0.011068702
2161.5,-0.0039047003,-0.007557988,-0.011118889
2162.5,-0.0039236546,-0.0075935125,-0.011169076
2163.5,-0.0039429665,-0.0076283216,-0.011219621
2164.5,-0.003962159,-0.0076628923,-0.011269927
2165.5,-0.0039817095,-0.0076988935,-0.0113174915
2166.5,-0.0039999485,-0.0077317953,-0.011365175
2167.5,-0.0040183067,-0.007766485,-0.011411548
2168.5,-0.0040369034,-0.007801771,-0.011460543
2169.5,-0.0040551424,-0.007834315,-0.01150763
2170.5,-0.004070878,-0.007866621,-0.011555314
2171.5,-0.0040882826,-0.007899284,-0.011599064
2172.5,-0.004106283,-0.007929444,-0.011645436
2173.5,-0.004122257,-0.007960677,-0.011688471
2174.5,-0.0041372776,-0.007992983,-0.011731505
2175.5,-0.0041542053,-0.008023143,-0.011772513
2176.5,-0.004169464,-0.008053899,-0.0118147135
2177.5,-0.0041843653,-0.008085251,-0.011856914
2178.5,-0.004199505,-0.008115888,-0.011899233
2179.5,-0.004213929,-0.008146048,-0.011942744
2180.5,-0.004228115,-0.008174539,-0.011983633
2181.5,-0.0042430162,-0.008203149,-0.012024641
2182.5,-0.0042569637,-0.008231282,-0.012064576
2183.5,-0.0042696,-0.00825727,-0.012104154
2184.5,-0.004281521,-0.008283019,-0.012144327
2185.5,-0.004293442,-0.008307338,-0.012180209
2186.5,-0.004305601,-0.008330107,-0.012214422
2187.5,-0.004318595,-0.008354068,-0.012246966
2188.5,-0.0043301582,-0.008376837,-0.012280822
2189.5,-0.0043423176,-0.008398294,-0.012314677
2190.5,-0.0043531656,-0.008420706,-0.012347221
2191.5,-0.0043652058,-0.008441687,-0.012378216
2192.5,-0.0043768883,-0.008462429,-0.012408495
2193.5,-0.0043890476,-0.008482814,-0.012439609
2194.5,-0.0043987036,-0.008504152,-0.012469292
2195.5,-0.004408717,-0.008524179,-0.012497067
2196.5,-0.004417777,-0.008542657,-0.012525678
2197.5,-0.004426956,-0.008561969,-0.012555361
2198.5,-0.0044374466,-0.008580923,-0.012582898
2199.5,-0.004448533,-0.008598089,-0.012609839
2200.5,-0.0044578314,-0.008615613,-0.0126338005
2201.5,-0.0044664145,-0.00863409,-0.012656808
2202.5,-0.004475713,-0.008652329,-0.012681961
2203.5,-0.0044835806,-0.008669972,-0.012705803
2204.5,-0.0044914484,-0.008687735,-0.012731075
2205.5,-0.00450027,-0.008705735,-0.012755156
2206.5,-0.0045062304,-0.008719683,-0.012781501
2207.5,-0.004514575,-0.008733153,-0.012807608
2208.5,-0.0045238733,-0.008750081,-0.012832642
2209.5,-0.004532099,-0.008767128,-0.012857318
2210.5,-0.0045404434,-0.008785367,-0.012882471
2211.5,-0.004548073,-0.008801937,-0.012910008
2212.5,-0.0045568943,-0.008818388,-0.012937307
2213.5,-0.004566431,-0.008836389,-0.012966037
2214.5,-0.0045746565,-0.008854747,-0.012994409
2215.5,-0.0045833588,-0.008870959,-0.0130229
2216.5,-0.0045924187,-0.008888483,-0.013049364
2217.5,-0.0046001673,-0.0089046955,-0.013073444
2218.5,-0.004608512,-0.008920193,-0.013096213
2219.5,-0.0046167374,-0.008935571,-0.013118029
2220.5,-0.004624963,-0.008952379,-0.013139844
2221.5,-0.004632354,-0.008968949,-0.013161302
2222.5,-0.00464046,-0.008984327,-0.0131851435
2223.5,-0.0046486855,-0.00899899,-0.013207436
2224.5,-0.004658222,-0.009014249,-0.013229609
2225.5,-0.004667163,-0.0090307,-0.013252497
2226.5,-0.004675865,-0.009047747,-0.013276935
2227.5,-0.004683614,-0.009063244,-0.013299823
2228.5,-0.004691243,-0.009078383,-0.013324976
2229.5,-0.004699707,-0.009094954,-0.013349056
2230.5,-0.0047074556,-0.009109616,-0.013373613
2231.5,-0.0047163963,-0.0091257095,-0.013396859
2232.5,-0.0047245026,-0.009141922,-0.013421297
2233.5,-0.0047346354,-0.0091587305,-0.013446808
2234.5,-0.0047415495,-0.009174585,-0.0134705305
2235.5,-0.004750371,-0.009191394,-0.013494372
2236.5,-0.0047574043,-0.009208083,-0.01352036
2237.5,-0.0047647953,-0.00922513,-0.013547063
2238.5,-0.0047734976,-0.009242058,-0.0135701895
2239.5,-0.004783392,-0.009260654,-0.013597012
2240.5,-0.004791379,-0.009277582,-0.013621926
2241.5,-0.0048006773,-0.009295583,-0.013648033
2242.5,-0.004810095,-0.0093125105,-0.013674736
2243.5,-0.0048191547,-0.009332538,-0.013699293
2244.5,-0.0048288107,-0.009351015,-0.0137254
2245.5,-0.004839301,-0.009370804,-0.013753414
2246.5,-0.004848361,-0.009388804,-0.013780117
2247.5,-0.004858136,-0.009407878,-0.013805985
2248.5,-0.004867792,-0.009425998,-0.013831735
2249.5,-0.0048778057,-0.009443283,-0.013857722
2250.5,-0.0048880577,-0.00946033,-0.013883829
2251.5,-0.0048969984,-0.009478927,-0.013909936
2252.5,-0.0049051046,-0.009496689,-0.01393652
2253.5,-0.0049158335,-0.009516716,-0.013964057
2254.5,-0.0049254894,-0.009536386,-0.013992906
2255.5,-0.004935503,-0.009555221,-0.014021754
2256.5,-0.004946828,-0.009574294,-0.014049768
2257.5,-0.0049586296,-0.009594083,-0.014080167
2258.5,-0.0049699545,-0.009613991,-0.0141096115
2259.5,-0.00498116,-0.009634376,-0.014137745
2260.5,-0.004991293,-0.009652734,-0.014166713
2261.5,-0.0050014257,-0.009672761,-0.014194608
2262.5,-0.0050139427,-0.009695649,-0.014221907
2263.5,-0.005026579,-0.009716272,-0.014252663
2264.5,-0.005038023,-0.009737492,-0.014282584
2265.5,-0.0050485134,-0.009757876,-0.0143123865
2266.5,-0.005059004,-0.009778261,-0.014343262
2267.5,-0.0050700903,-0.009800196,-0.014374495
2268.5,-0.005079627,-0.009824038,-0.014404893
2269.5,-0.0050925016,-0.009844661,-0.014435649
2270.5,-0.005103469,-0.0098673105,-0.014466882
2271.5,-0.0051146746,-0.009889483,-0.014497995
2272.5,-0.0051249266,-0.009911776,-0.014531255
2273.5,-0.00513649,-0.009932995,-0.014563441
2274.5,-0.00514853,-0.009954691,-0.014597058
2275.5,-0.0051606894,-0.009977102,-0.014629245
2276.5,-0.0051710606,-0.009998798,-0.014662981
2277.5,-0.005182743,-0.010020375,-0.014695168
2278.5,-0.0051931143,-0.010043025,-0.014727473
2279.5,-0.0052036047,-0.010065436,-0.014762044
2280.5,-0.005215049,-0.01008749,-0.014795184
2281.5,-0.0052273273,-0.010109901,-0.014827251
2282.5,-0.005239606,-0.010130405,-0.0148614645
2283.5,-0.005249977,-0.010151625,-0.01489377
2284.5,-0.0052610636,-0.010172844,-0.01492703
2285.5,-0.0052723885,-0.010194659,-0.014959693
2286.5,-0.0052838326,-0.010217309,-0.014992237
2287.5,-0.005294442,-0.01023972,-0.015025139
2288.5,-0.005307317,-0.010262132,-0.015058637
2289.5,-0.0053195953,-0.010285616,-0.015093207
2290.5,-0.0053305626,-0.010308385,-0.015126824
2291.5,-0.0053423643,-0.010331273,-0.015161395
2292.5,-0.0053550005,-0.010353327,-0.0151952505
2293.5,-0.0053658485,-0.010376215,-0.015228391
2294.5,-0.0053776503,-0.010398984,-0.015262723
2295.5,-0.005389929,-0.010422587,-0.015297055
2296.5,-0.0054016113,-0.010446906,-0.0153307915
2297.5,-0.005412817,-0.010470271,-0.015365839
2298.5,-0.0054240227,-0.010492206,-0.01540041
2299.5,-0.005436182,-0.010514617,-0.0154339075
2300.5,-0.0054448843,-0.010536194,-0.015466213
