time,104 GtCO2 temporary storage vs. permanent removal,200 GtCO2 temporary storage vs. permanent removal,296 GtCO2 temporary storage vs. permanent removal
2066.5,0.009002686,-0.017181396,0.0012207031
2067.5,0.009094238,-0.013092041,0.00390625
2068.5,0.008911133,-0.008575439,0.0075683594
2069.5,0.011108398,-0.0028076172,0.011444092
2070.5,0.027435303,0.021118164,0.014190674
2071.5,0.047424316,0.04650879,0.011413574
2072.5,0.050720215,0.057006836,0.0284729
2073.5,0.052947998,0.063079834,0.051330566
2074.5,0.05960083,0.068237305,0.06506348
2075.5,0.06774902,0.07473755,0.0793457
2076.5,0.07473755,0.08639526,0.11248779
2077.5,0.08117676,0.103881836,0.14263916
2078.5,0.08166504,0.11651611,0.17736816
2079.5,0.09262085,0.13070679,0.20019531
2080.5,0.110565186,0.15805054,0.22991943
2081.5,0.122802734,0.18554688,0.25738525
2082.5,0.13031006,0.20013428,0.29537964
2083.5,0.14620972,0.21362305,0.31222534
2084.5,0.17523193,0.21878052,0.32037354
2085.5,0.20266724,0.22106934,0.33059692
2086.5,0.2138977,0.22821045,0.35653687
2087.5,0.22061157,0.2521057,0.40133667
2088.5,0.2361145,0.2786255,0.44573975
2089.5,0.24383545,0.30386353,0.47665405
2090.5,0.26983643,0.34039307,0.5039978
2091.5,0.27954102,0.3553772,0.54281616
2092.5,0.28671265,0.38153076,0.5623779
2093.5,0.2902527,0.4064331,0.5991211
2094.5,0.28503418,0.4128418,0.6315613
2095.5,0.276886,0.41049194,0.63604736
2096.5,0.26898193,0.41088867,0.62664795
2097.5,0.2566223,0.4213562,0.6213684
2098.5,0.24926758,0.44787598,0.62042236
2099.5,0.25854492,0.5012207,0.6488037
2100.5,0.2642517,0.5364075,0.6928711
2101.5,0.2779541,0.5444031,0.72372437
2102.5,0.27990723,0.5564575,0.75112915
2103.5,0.2659607,0.5829468,0.79055786
2104.5,0.25222778,0.6062927,0.84069824
2105.5,0.24014282,0.62106323,0.88375854
2106.5,0.2347107,0.62771606,0.9017639
2107.5,0.23446655,0.6225891,0.8998718
2108.5,0.23614502,0.62216187,0.8982849
2109.5,0.23684692,0.6286316,0.901001
2110.5,0.23251343,0.614563,0.891449
2111.5,0.22885132,0.5915222,0.8633728
2112.5,0.22521973,0.5727844,0.83496094
2113.5,0.22174072,0.5545044,0.80947876
2114.5,0.23040771,0.5513916,0.7984314
2115.5,0.23226929,0.5526123,0.79733276
2116.5,0.22998047,0.5386963,0.78826904
2117.5,0.22381592,0.5187378,0.76672363
2118.5,0.21984863,0.4991455,0.7395325
2119.5,0.2140503,0.48120117,0.7151184
2120.5,0.20907593,0.4647522,0.6919861
2121.5,0.20385742,0.44958496,0.6702881
2122.5,0.19802856,0.4336548,0.64697266
2123.5,0.19302368,0.418396,0.6239319
2124.5,0.1869812,0.40322876,0.60110474
2125.5,0.181427,0.38787842,0.5788574
2126.5,0.17593384,0.3736267,0.55758667
2127.5,0.17077637,0.3607483,0.5378418
2128.5,0.16671753,0.34906006,0.52023315
2129.5,0.16366577,0.3395996,0.5054321
2130.5,0.16091919,0.3312683,0.49279785
2131.5,0.15811157,0.3230896,0.4807434
2132.5,0.15560913,0.31552124,0.469635
2133.5,0.15255737,0.3081665,0.45898438
2134.5,0.15008545,0.3010559,0.44891357
2135.5,0.14944458,0.2960205,0.44003296
2136.5,0.14816284,0.2928772,0.43356323
2137.5,0.15054321,0.29263306,0.43185425
2138.5,0.15057373,0.29388428,0.43099976
2139.5,0.1491394,0.2914734,0.4300537
2140.5,0.14691162,0.2871704,0.42523193
2141.5,0.14578247,0.28329468,0.41952515
2142.5,0.14575195,0.28121948,0.41549683
2143.5,0.14523315,0.28045654,0.413208
2144.5,0.14428711,0.27893066,0.41171265
2145.5,0.14294434,0.27627563,0.4088745
2146.5,0.14224243,0.27398682,0.40567017
2147.5,0.14199829,0.27288818,0.4031372
2148.5,0.1408081,0.27148438,0.40109253
2149.5,0.13980103,0.26937866,0.39874268
2150.5,0.13879395,0.2673645,0.39572144
2151.5,0.1378479,0.26522827,0.3928833
2152.5,0.1368103,0.2631836,0.3899536
2153.5,0.1366272,0.26208496,0.38806152
2154.5,0.1359253,0.26141357,0.38659668
2155.5,0.13531494,0.26037598,0.38562012
2156.5,0.13452148,0.25915527,0.38394165
2157.5,0.13388062,0.25784302,0.38223267
2158.5,0.13345337,0.25680542,0.3805542
2159.5,0.13330078,0.25619507,0.3791504
2160.5,0.13308716,0.25567627,0.37808228
2161.5,0.13302612,0.255188,0.37753296
