time,sce1,sce2,sce3,sce4,sce5,sce6
2079.5,-30.52785234246403,-47.02939854655415,-58.875136838294566,-90.69953695032746,-87.22243116889149,-134.3696898976341
2080.5,-28.42347721848637,-43.78752337489277,-54.81669937167317,-84.44734898302704,-81.2099308827892,-125.1071896115318
2081.5,-26.319102273322642,-40.545648471452296,-50.75826178584248,-78.19516149256378,-75.19743083510548,-115.84468980226666
2082.5,-24.21472738776356,-37.30377355311066,-46.699824021197855,-71.94297400210053,-69.18493078742176,-106.58218975458294
2083.5,-22.11035238299519,-34.06189863476902,-42.64138643536717,-65.69078651163727,-63.17243073973805,-97.31968970689923
2084.5,-20.005977259017527,-30.820023463107646,-38.58294884953648,-59.438598544336855,-57.15993045363575,-88.05718918237835
2085.5,-17.901602373458445,-27.578148529864848,-34.52451125625521,-53.18641057703644,-51.147430763579905,-78.79468889627606
2086.5,-15.797227726317942,-24.33627383504063,-30.46607367042452,-46.93422320578247,-45.13493107352406,-69.53218908701092
2087.5,-13.69285284075886,-21.09439890179783,-26.407636084593832,-40.68203559610993,-39.12243114504963,-60.269688800908625
2088.5,-11.588477716781199,-17.852523849345744,-22.349198498763144,-34.4298477480188,-33.10993091855198,-51.00718851480633
2089.5,-9.578445778228343,-14.755988166667521,-18.47270826343447,-28.457957417704165,-27.366982326842844,-42.15994377527386
2090.5,-7.759720430709422,-11.954168603755534,-14.965167083777487,-23.05444783065468,-22.170624838210642,-34.15474458131939
2091.5,-6.132302389480174,-9.447065160609782,-11.826575079001486,-18.21931952331215,-17.52085863146931,-26.991591052152216
2092.5,-4.696190939284861,-7.234677121974528,-9.05693129543215,-13.952571094967425,-13.417682752944529,-20.670482599176466
2093.5,-3.451385603286326,-5.31700496468693,-6.656236448325217,-10.254203260876238,-9.86109767947346,-15.191419803537428
2094.5,-2.3978878119960427,-3.694049165584147,-4.6244905376806855,-7.12421649787575,-6.851104126311839,-10.554402791894972
2095.5,-1.5356970885768533,-2.365808770991862,-2.9616935634985566,-4.562610567547381,-4.38770090136677,-6.759430848993361
2096.5,-0.8648134330287576,-1.3322847345843911,-1.6678460026159883,-2.569385946728289,-2.4708894351497293,-3.8065046900883317
2097.5,-0.3852363685145974,-0.5934765795245767,-0.7429473781958222,-1.1445416817441583,-1.1006687739863992,-1.6956238383427262
2098.5,-0.09696637187153101,-0.14938430581241846,-0.18699673656374216,-0.28807777259498835,-0.27703844103962183,-0.4267882937565446
2099.5,-2.489425241947174e-06,-7.436610758304596e-06,5.445443093776703e-06,6.2575563788414e-06,1.0868534445762634e-06,2.8973445296287537e-06
2100.5,-2.489425241947174e-06,-7.436610758304596e-06,5.445443093776703e-06,6.2575563788414e-06,1.0868534445762634e-06,2.8973445296287537e-06
2101.5,-2.489425241947174e-06,-7.436610758304596e-06,5.445443093776703e-06,6.2575563788414e-06,1.0868534445762634e-06,2.8973445296287537e-06
2102.5,-2.489425241947174e-06,-7.436610758304596e-06,5.445443093776703e-06,6.2575563788414e-06,1.0868534445762634e-06,2.8973445296287537e-06
2103.5,-2.489425241947174e-06,-7.436610758304596e-06,5.445443093776703e-06,6.2575563788414e-06,1.0868534445762634e-06,2.8973445296287537e-06
2104.5,-2.489425241947174e-06,-7.436610758304596e-06,5.445443093776703e-06,6.2575563788414e-06,1.0868534445762634e-06,2.8973445296287537e-06
2105.5,-2.489425241947174e-06,-7.436610758304596e-06,5.445443093776703e-06,6.2575563788414e-06,1.0868534445762634e-06,2.8973445296287537e-06
2106.5,-2.489425241947174e-06,-7.436610758304596e-06,5.445443093776703e-06,6.2575563788414e-06,1.0868534445762634e-06,2.8973445296287537e-06
2107.5,-2.489425241947174e-06,-7.436610758304596e-06,5.445443093776703e-06,6.2575563788414e-06,1.0868534445762634e-06,2.8973445296287537e-06
2108.5,-2.489425241947174e-06,-7.436610758304596e-06,5.445443093776703e-06,6.2575563788414e-06,1.0868534445762634e-06,2.8973445296287537e-06
2109.5,-2.489425241947174e-06,-7.436610758304596e-06,5.445443093776703e-06,6.2575563788414e-06,1.0868534445762634e-06,2.8973445296287537e-06
2110.5,-2.489425241947174e-06,-7.436610758304596e-06,5.445443093776703e-06,6.2575563788414e-06,1.0868534445762634e-06,2.8973445296287537e-06
2111.5,-2.489425241947174e-06,-7.436610758304596e-06,5.445443093776703e-06,6.2575563788414e-06,1.0868534445762634e-06,2.8973445296287537e-06
2112.5,-2.489425241947174e-06,-7.436610758304596e-06,5.445443093776703e-06,6.2575563788414e-06,1.0868534445762634e-06,2.8973445296287537e-06
2113.5,-2.489425241947174e-06,-7.436610758304596e-06,5.445443093776703e-06,6.2575563788414e-06,1.0868534445762634e-06,2.8973445296287537e-06
2114.5,-2.489425241947174e-06,-7.436610758304596e-06,5.445443093776703e-06,6.2575563788414e-06,1.0868534445762634e-06,2.8973445296287537e-06
